latitude,longitude,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,SG_Depth_to_bedrock,isric-soil-proportion-of-sand,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,MODIS_NPP,HumanModification,biomes,HyphalLength_m_cm3_final,log_hyphal_density,location_id
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,21.29071429,3.1041701921961367,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,21.32795918,3.1058396680345712,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,21.55030612,3.1157486410228428,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,21.61540816,3.1186314509650384,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,22.17061224,3.142884761919092,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,22.21428571,3.1447678525298635,-35.67_174.27
30.63,110.3,118.532486,1760.333374,255.532486,55.89664078,36.56242371,57.26813126,200.0,575.0,1287.5,5.333442688,6672.945801,0.496198356,1.0,0.985862069,0.6860531115494711,30.63_110.3
30.63,110.3,118.532486,1760.333374,255.532486,55.89664078,36.56242371,57.26813126,200.0,575.0,1287.5,5.333442688,6672.945801,0.496198356,1.0,1.908706897,1.0677086171317907,30.63_110.3
30.63,110.3,118.532486,1760.333374,255.532486,55.89664078,36.56242371,57.26813126,200.0,575.0,1287.5,5.333442688,6672.945801,0.496198356,1.0,5.663189655,1.8965982970804587,30.63_110.3
30.63,110.3,118.532486,1760.333374,255.532486,55.89664078,36.56242371,57.26813126,200.0,575.0,1287.5,5.333442688,6672.945801,0.496198356,1.0,6.544137931,2.0207708287006,30.63_110.3
